,elv_mean,elv_cv,slope_mean,slope_cv,HAND_mean,HAND_cv,Water_Table_Depth_mean,Water_Table_Depth_cv,soil_moisture_mean,soil_moisture_cv,basin_Area_SqM,river_density_(m/m2),lulc_Cropland_portion,lulc_Forest_portion,lulc_Grassland_portion,lulc_Urban_portion,lulc_Wet_portion,caly_content,sand_content,silt_content,seasonality,Aridity,Snow_fraction,Snow_presence,GIW_MAXPA_Percentage,Riparian_MAXPA_Percentage,MAXPA,long_term_mean_Inundation,long_term_cv_Inundation
05030500,407.198762701,0.0206363461411,4.26635726444,0.92454167243,5.52140037531,1.0943302317,1.11073561996,1.04901808461,92.7247638556,0.0817697425063,283434998.1,0.00024297234582595516,0.444783181695,0.23209641309,0.164334143127,0.00124168373585,0.157544578352,193.848984533,543.130126647,263.015040043,0.6575321287471996,1.0384571702692535,0.18427446120787466,43.503559431052636,3.7479435031402373,0.56842315032380919,0.0434785298084,3.1310248394736844,0.24845912689504224
05046000,406.83564328,0.0614662157816,4.82306873619,0.881657010389,6.76712500656,1.08055445669,1.54120518269,1.29760222506,95.0505722216,0.0503879846909,1913053148,0.00021474903729473276,0.492028215741,0.250233578689,0.135623831518,0.00621041746839,0.115903956583,221.968583908,498.991265497,279.038193128,0.6545158909461979,1.0507956517734083,0.18768226974089322,42.50540394947368,4.112413958805452,0.43194275770637974,0.0455800105021,3.159354731578947,0.24716471716325158
05051300,324.891984508,0.0620388146403,2.47031749519,0.74286114179,2.3130886928,1.58589853961,2.92082556748,0.499216253184,93.1797319233,0.131376898961,4816416611,0.00025014832580913819,0.978112411039,3.66241297331e-05,0.00852314504856,0.000264403793737,0.0130634159886,325.679053663,262.571167607,411.749098587,0.6353147714217263,1.1500628141340277,0.17980463710632544,37.018087710526316,2.3287331695646829,1.0239131649917215,0.0328097629601,1.6246794552631578,0.38848231906176256
05051522,345.851916104,0.141296166757,2.92101076087,0.850016997733,2.98186227385,1.70074436855,3.38971588995,0.597608488654,86.7850786541,0.209447098986,14189939966,0.00026060114580129861,0.918113487479,0.0337596385482,0.0245348437631,0.00145122885424,0.0221408013554,298.460017514,328.223716413,373.316335379,0.6408592028905727,1.1646850229569639,0.1847137494164935,38.125938398947376,2.8116752911749288,0.94936556390795501,0.037176423059,1.7872546894736838,0.3991653965663898
05051600,409.026382803,0.0951463565878,2.9673145063,0.694422684564,3.28409672751,1.53336823768,4.98543904933,0.371835196555,66.7432411283,0.142872394735,1259500067,0.00022438888535246726,0.989348642248,0.0,0.00867843418038,0.000279396275383,0.0016935272958,239.990047522,423.617506055,336.397489837,0.6238074805660733,1.273342797413197,0.19572708381442183,36.19771456421053,4.1414229573879124,0.97385066366501916,0.0516623759682,1.9662688552631578,0.5392122014276598
05052000,381.44420433,0.138862650023,2.92666477114,0.728375923728,3.24757707605,1.87183223751,4.76075440784,0.474566789186,68.6191003982,0.195958888926,3506312081,0.00025325393576522041,0.987615422802,0.0,0.00868863475238,0.000453554434489,0.00324238801158,272.448894916,372.479091128,355.07393496,0.625119779821894,1.2578287334687142,0.19321815503952824,36.853100790000006,4.1726457401421806,1.4563636105550806,0.0566371269916,2.3309816052631582,0.5337895570538066
05053000,350.053259121,0.140002049435,2.95953195631,0.862043245071,3.12797211438,1.67493704972,3.37367516733,0.615293289494,86.4123652515,0.209097291254,12714759142,0.00025367512635912859,0.908988446632,0.0376635923704,0.0271914439066,0.00157366069138,0.0245828563994,296.13511713,328.643393902,375.221545394,0.6389611846310496,1.1668362463076818,0.18421860726788972,38.063168024210526,3.027109293148869,1.0331424681799457,0.0401537485128,1.943025152631579,0.39902687127692943
05054000,341.432687282,0.145816683615,2.88159249316,0.843284057318,2.83073808109,1.7393453049,3.50723949634,0.578657573233,88.4379740926,0.212617917429,15286378161,0.00026100576194297131,0.922135005594,0.0313381683307,0.0227861659093,0.00318794723152,0.0205527129344,309.515362526,316.698847425,373.785677291,0.6420108795290465,1.1656229539310128,0.1847832548334206,38.30459664421053,2.6596678697059946,0.89501585757343871,0.0351471958813,1.6790946868421053,0.3997667832191817
05054500,558.287653209,0.072781565967,3.74000497936,0.693297572238,6.44353794048,1.15852700187,4.25626759651,0.756542344469,83.0578454567,0.0218862407422,1180100285,0.0002385716271891248,0.84692067395,0.0,0.150046980009,0.0,0.00303234604132,293.99646885,335.662637159,370.343104324,0.6301565689962162,1.3388889489367206,0.23437263256106625,38.75625029863158,4.2895605100737537,1.0011945647674376,0.0532745454424,3.1934641210526316,0.4133086604149037
05055300,503.429765998,0.0850685942392,3.39185225178,0.725304339601,5.42231699502,1.27179142219,3.34100342585,0.758813086423,81.0626466416,0.0790548730255,4051900287,0.00022770022883901488,0.849663647199,0.0,0.141177330314,0.00145509291405,0.0077039295727,263.141348848,407.326337178,329.534270164,0.6432789483820182,1.3310267839924466,0.22840177186258998,40.133749765789474,3.5380899433618453,1.0311469782778497,0.0454946362941,2.4681143842105264,0.4122915637803866
05056000,494.844780858,0.0844144450118,3.43394168803,0.730917870498,5.6061523292,1.28148486495,3.52798946071,0.726064858792,79.4906994507,0.101799401276,5168186285,0.00023377993503486712,0.87138334442,6.54771648388e-05,0.11992612922,0.00117075260428,0.00745429659066,255.755864565,423.296920395,320.948982077,0.6484653793914413,1.3155841805939361,0.22695943412711264,40.341173720526314,3.2543686617695204,0.949319477671144,0.0418791921721,2.2762865368421052,0.4061098436080327
05056060,483.127154921,0.0608720737993,2.33052997948,0.599536108427,2.18762050442,0.930782295904,4.46987556867,0.266329051997,83.2091321029,0.00867459651709,581083640.1,0.00029927169552689036,1.0,0.0,0.0,0.0,0.0,284.869499993,342.514332291,372.613092631,0.6771651721329269,1.2614366078982664,0.22937837355100904,45.95960560368421,1.8082213065291761,0.31089881644753492,0.0214300690704,1.0086144026315789,0.4303697872542112
05056100,486.411893518,0.0803878029386,2.5501304769,0.643189758355,1.8720032364,1.41864453929,3.99829398662,0.357145900344,82.968224921,0.0201741183205,1319700642,0.00032502658898399804,0.973553233163,0.0218760911789,0.00394256579809,0.0,0.000628109859893,256.164731653,365.922978798,377.911758849,0.6638657775155856,1.2576092540911294,0.23693385561752284,44.927987284736844,3.4597946070386492,0.52459171430406759,0.0399043554788,1.9746713315789475,0.3726119683750701
05056215,471.054671876,0.0248684695937,2.45575573079,0.592740511831,1.36119156549,1.01517432468,3.2727866557,0.450369295974,83.2332073764,0.00952497124148,1689584848,0.0002514720095126187,0.997628550715,0.0,0.00207634980049,0.0,0.000295099484215,284.768670928,343.28989321,371.942441495,0.6493203041409964,1.2651732986082447,0.23804851921079795,43.818280296315784,5.2674252696501753,1.5406794794965166,0.0683935565874,3.0457247999999995,0.4360147764719622
05056340,487.718831224,0.0303772007993,2.73035995349,0.688994313653,3.6903007655,1.21329691806,3.29056544199,0.590019244977,85.3620416824,0.0153721503926,1236497034,0.00022364548912554586,0.941588201772,0.0,0.0268332109385,0.00134864760413,0.0302299396857,319.581343764,310.600072045,369.818348453,0.6824542936855283,1.2745256955644768,0.2247943923355407,45.398352577894734,4.3516702734964117,1.8478967357255089,0.0601740262245,3.1444393921052636,0.4218183724746515
05057000,472.289483047,0.0714605772383,2.93282048689,0.760888847181,3.69547547844,1.52586239286,3.4248437403,0.625982711612,82.3276711256,0.0913082971357,17810654804,0.00026229761841549924,0.894200457583,0.00331759898488,0.0526817780621,0.00135000113443,0.0484501642351,280.735076814,368.965823229,350.299071031,0.6633649679646929,1.2804212415901532,0.225683513702884,43.356584829999996,4.3429224251636098,3.0794533455986426,0.070569352232,3.6154571710526313,0.4042619717983137
05057200,449.910735579,0.0258536757938,2.63749514579,0.694633388734,2.5784572726,1.28940094245,3.98071690296,0.345747226864,70.920150232,0.164526897889,2116757128,0.00025214795318590616,0.966750978644,0.0,0.0218331031017,0.000162416416133,0.0112535018382,235.578068035,427.958094272,336.463393236,0.6824242658725227,1.2513792040629064,0.21072824274200247,40.422348817894736,5.2082186501847918,1.2315846329852993,0.0643510460627,2.8212696947368423,0.48160461521037146
05058000,468.161809399,0.0713585114369,2.92491787827,0.766614995046,3.68620994216,1.54821673448,3.52897158288,0.603948757176,81.0342461299,0.108374485511,20783761941,0.00025991138538387714,0.904551932291,0.00284301986961,0.0483502179227,0.00120646688073,0.0430483630356,273.863420307,378.022183204,348.114170126,0.6669002213980717,1.2739648700884243,0.22291635771764062,42.94040352526316,4.3768630224067939,2.792852640721744,0.0684709526979,3.454552013157895,0.4030893475896924
